NAME,PRICE,MILES,IGNORE
-,kawasaki ninja 300,"Washington, DC",2995.38
2006 Kawasaki,3500,25000
2011 Kawasaki Kawasaki,2900,-1
2019 Yamaha yzf,1234,-1
n/a,-2,-1
2010 Yamaha yzf,7999,12000
2009 Yamaha yzf,6500,12000
2020 Yamaha r3 with abs,4800,-1
2009 Suzuki gsx-r,6000,-1
2006 Yamaha yzf,5995,-1
Limio,3200,-1
2003 Yamaha r6,3000,25000
2020 Yamaha MT 03,4500,-1
2007 Yamaha r6,6000,-1
Fzo6 Yamaha 2008 600r,1500,-1
2003 Kawasaki ninja,3000,38000
2002 Ducati 750 ss,1999,17000
2007 Yamaha yamaha,6000,1000
2015 Honda CBR500R Motorcycle,2250,-1
-,yamaha r6,"San Francisco, CA",5226.58
2022 Yamaha r7,9800,-1
2015 Yamaha yzf,7500,15000
n/a,10000,-1
2015 Yamaha R6,10000,-1
Yamaha R6 2003,3000,-1
2006 Yamaha yzf,4900,34000
2019 Yamaha r3 abs,5000,-1
2021 Kawasaki ninja,5900,-1
2007 Yamaha yzf,6000,37000
2020 Kawasaki ninja,4500,2000
2004 Honda cbr,4300,30000
2004 Yamaha R1 with 2 sets of tires,3500,-1
2010 Ducati Monster 696,3150,-1
Yamaha R6 fairings,-1,-1
2006 Yamaha yzf,5500,27000
2009 Kawasaki ninja,4588,15000
2009 Yamaha yzf,6500,22000
2023 Yamaha r7,9000,529
2018 Yamaha yzf,3200,10000
2019 Yamaha r3 abs,5400,-1
2008 Kawasaki ninja,2800,14000
2019 Yamaha yzf,5000,10000
2008 Yamaha yzf,5900,9000
2016 Yamaha yzf,-2,-1
-,2008 honda accord,"Washington, DC",3303.65
2008 Honda accord,1000,-1
2008 Honda accord EX Sedan 4D,3900,-1
2008 Honda accord EX-L Sedan 4D,3200,-1
2008 Honda accord EX-L Coupe 2D,4700,-1
2008 Honda accord,1000,-1
2008 Honda accord EX Coupe 2D,3500,-1
2008 Honda accord EX Sedan 4D,7900,-1
2008 Honda accord EX-L Sedan 4D,2300,-1
2008 Honda accord LX Sedan 4D,4500,-1
2008 Honda accord EX Sedan 4D,3500,-1
2012 Honda accord LX Sedan 4D,4800,-1
2004 Honda accord EX-L Sedan 4D,4000,-1
2012 Honda accord EX Coupe 2D,2500,10000
Honda accord 2008 4 door automatic,-2,-1
2008 Honda accord EX-L Coupe 2D,5000,-1
2008 Honda accord LX-P Sedan 4D,3500,-1
2007 Honda accord LX Sedan 4D,-1,-1
2008 Honda accord EX Coupe 2D,3500,-1
