NAME,MAKE,MODEL,YEAR,TYPE,COLOR,INTCOLOR,MILES,PRICE,SOURCE
Used 2021 Toyota Highlander LE,Toyota,Highlander,2021,6-Cylinder,White,Gray,24673,28994,AUTOTRADER
Used 2021 Alfa Romeo Giulia Ti Sport,Alfa Romeo,Giulia,2021,4-Cylinder Turbo,Black,Black,6370,32600,AUTOTRADER
Used 2018 Toyota RAV4 Limited,Toyota,RAV4,2018,Hybrid,Blue,Black,26460,26000,AUTOTRADER
Used 2020 Chevrolet Traverse LT,Chevrolet,Traverse,2020,6-Cylinder,Black,Black,28818,29998,AUTOTRADER
Used 2023 Porsche Macan,Porsche,Macan,2023,4-Cylinder Turbo,Blue,Black,4494,59584,AUTOTRADER
Used 2018 Honda CR-V EX-L,Honda,CR-V,2018,4-Cylinder Turbo,White,Black,40952,24759,AUTOTRADER
Used 2021 Honda Odyssey EX,Honda,Odyssey,2021,6-Cylinder,Gray,Unavail,27025,32840,AUTOTRADER
Used 2012 Mercedes-Benz ML 350 4MATIC,Mercedes-Benz,ML 350,2012,6-Cylinder,White,Beige,115611,12500,AUTOTRADER
Used 2013 Volvo C70 T5 w/ Climate Pkg,Volvo,C70,2013,5-Cylinder Turbo,White,Beige,48760,19900,AUTOTRADER
Used 2000 Pontiac Firebird Formula,Pontiac,Firebird,2000,8-Cylinder,Red,Black,76274,12500,AUTOTRADER
Used 2019 Tesla Model S 100D,Tesla,Model S,2019,Electric,White,Beige,37113,39900,AUTOTRADER
Used 2017 Kia Sorento SX,Kia,Sorento,2017,6-Cylinder,Silver,Black,59298,19894,AUTOTRADER
Certified 2021 Nissan Sentra S,Nissan,Sentra,2021,4-Cylinder,Silver,Black,15455,19400,AUTOTRADER
Used 2021 Nissan Rogue SV,Nissan,Rogue,2021,4-Cylinder,White,Gray,21740,25000,AUTOTRADER
Used 2019 Toyota Camry XLE,Toyota,Camry,2019,4-Cylinder,Gray,Gray,48008,22473,AUTOTRADER
