NAME,YEAR,PRICE,MILES
2020 Yamaha yzf,2020,5500,100
2018 Yamaha yzf,2018,4000,12300
2012 Kawasaki ninja,2012,3400,800
2016 Yamaha yzfr,2016,3000,4900
2022 Kawasaki ninja ex400,2022,5000,3300
2015 Kawasaki ninja,2015,3800,1900
2018 Yamaha yzfr,2018,3800,1900
2017 Yamaha r3 abs,2017,4500,6400
2021 Kawasaki ninja 400 abs,2021,1234,5800
2022 Yamaha yzf,2022,1234,1200
2022 Yamaha r7,2022,9300,300
2023 Kawasaki,2023,5000,4500
-,yamaha r3,"Newark, NJ",4150.0
2019 Yamaha yzf,2019,5000,3100
2017 Yamaha yzf,2017,3800,300
2018 Yamaha yzfr,2018,3600,7800
2016 Yamaha yzf r3,2016,4000,2000
2017 Yamaha yzf,2017,3500,2200
2021 Yamaha yzf,2021,4800,2200
2012 Honda cbr,2012,-2,1200
2022 CFMOTO 300ss,2022,3950,400
2019 Yamaha yzf,2019,5000,7900
2015 Yamaha yzfr,2015,4000,400
2015 Yamaha yzf,2015,4200,900
2021 Yamaha yzf,2021,5100,300
2005 Yamaha yzf,2005,4200,3600
2012 Kawasaki ninja 250cc,2012,1400,6000
2018 Yamaha yzf,2018,4350,5600
2021 Yamaha yzf-r1,2021,4800,800
2016 Honda cbr,2016,3700,100
2016 Yamaha yzf,2016,3500,500
2016 Yamaha yzfr,2016,4000,2600
2023 Kawasaki ninja 400 abs,2023,5750,2100
2023 Yamaha yzfr,2023,8500,1600
-,yamaha r3,"Cleveland, OH",4999.25
2024 Yamaha yzf,2024,5499,300
2021 Yamaha yzfr,2021,3500,1500
2023 Kawasaki ninja,2023,5000,100
2012 Kawasaki ninja,2012,2900,1000
2006 Yamaha yzf,2006,4800,1900
2017 Yamaha yzf,2017,3800,1900
2008 Kawasaki ninja,2008,3500,5500
2023 Yamaha r3 abs,2023,5000,2100
2021 Yamaha yzfr,2021,4200,6200
2024 Yamaha yzfr,2024,6736,300
2014 Honda cbr,2014,4500,600
2022 Yamaha yzf,2022,15000,200
2021 Kawasaki ninja,2021,4500,300
2012 Yamaha yzf-r1,2012,8500,2700
2016 Yamaha yzf,2016,5000,6900
1999 Honda cbr,1999,1500,1700
2017 Honda cbr,2017,3100,3300
2013 Kawasaki 650 ninja,2013,3600,1300
2006 Yamaha yzf,2006,5750,2100
2015 Honda cbr,2015,3600,4800
-,yamaha r3,"Charlotte, NC",3631.35
2020 Yamaha mt,2020,4300,3300
2023 Kawasaki ninja,2023,4995,2100
2023 Yamaha yzf,2023,4999,300
2017 Yamaha yzf,2017,1000,3900
2020 Yamaha yzfr,2020,3500,2500
2016 Yamaha yzf,2016,3500,1600
2015 Yamaha yw50,2015,2000,6700
2017 Yamaha yzf,2017,3750,8600
2023 Kawasaki ninja,2023,1234,2500
2021 Yamaha yzf,2021,5000,1200
2016 Yamaha fz,2016,6800,1800
2023 Yamaha yzf,2023,5499,500
2021 Dong Fang teyin wasp,2021,1800,300
2016 Yamaha yzf,2016,3000,4300
2019 Yamaha yzfr,2019,5000,7800
2002 Yamaha yzf-r1,2002,-2,2400
2021 Yamaha yzf,2021,5000,1500
2017 Yamaha yzf,2017,4500,300
2017 Yamaha yzf-r3 abs,2017,4250,1700
2023 Kawasaki venom,2023,2500,100
-,yamaha r3,"Nashville, TN",3718.29
2016 Yamaha yzf,2016,4000,2300
2018 Suzuki gsx,2018,4000,100
2022 Kawasaki ninja,2022,5000,800
2013 Kawasaki ninja,2013,3000,700
2016 Yamaha yzf,2016,4000,2300
2016 Yamaha yzfr,2016,3000,4900
2020 Yamaha yzf,2020,4400,500
2005 Yamaha yzf,2005,2000,7400
2008 Kawasaki ninja 650r,2008,3300,900
2016 Honda cbr,2016,1234,400
2023 Kawasaki ninja,2023,4900,2500
2015 Honda cbr,2015,3800,7600
